c1, z3, o0, s2, t0, f6, l3, b0 - Aug-31
f6, c1, s2, z7, b0, t2, l3, o0 - Nov-2
o0, c1, l3, b0, s3, f6, z5, t1 - Oct-21
o0, t2, c1, z6, f6, b0, s3, l3 - Nov-31
z5, c1, t4, b0, s0, f6, l3, o1 - Jun-31
c1, o1, t5, z1, s0, f6, b0, l3 - Aug-31
o1, c1, t5, z1, s0, f6, b0, l3 - Nov-31
c1, o1, z2, t3, f6, b0, s3, l3 - Aug-31
o1, c1, z2, t3, f6, b0, s3, l3 - Nov-31
f6, b0, o1, t3, z4, s3, l3, c1 - Mar-30
c1, o1, t5, z6, f6, b0, s3, l3 - Aug-31
o1, c1, t5, z6, f6, b0, s3, l3 - Nov-31
f6, b0, c1, t7, s3, o1, l3, z4 - Mar-23
f6, b0, c1, t7, z4, s3, l3, o1 - Mar-12
f6, b0, c1, t7, s3, o1, l3, z6 - Mar-31
f6, b0, c1, t7, z6, s3, l3, o1 - Mar-15
t4, f7, z2, l0, c1, o0, b0, s3 - Feb-11
l0, s1, z2, c1, f7, b0, t5, o1 - Jun-26
f7, s2, c1, b0, l0, t7, z4, o1 - Nov-28
l0, z6, s3, c1, f7, b0, t5, o1 - Feb-26
l1, c1, s0, f7, t0, z1, b0, o0 - Nov-25
l1, c1, s0, f7, t0, z3, b0, o0 - Nov-17
c1, l1, s3, b0, t1, f7, o1, z4 - Dec-23
c1, l1, s3, b0, t1, f7, o1, z6 - Dec-31
l2, c1, b0, s1, t7, f7, o1, z4 - Aug-23
f7, b0, l2, c1, s3, t7, z4, o1 - Jun-28
l2, c1, b0, t7, s3, f7, o1, z4 - Aug-23
l2, c1, b0, t7, s3, f7, o1, z6 - Aug-31
o0, z2, s0, f7, b0, c1, l3, t1 - Jun-18
f7, b0, z1, s0, l3, c1, t1, o1 - Jun-7
c1, t4, s2, o1, b0, l3, f7, z4 - Aug-23
c1, t4, s2, o1, b0, l3, f7, z6 - Aug-31
z1, f7, c1, l3, b0, s3, t1, o1 - Jan-5
z1, f7, c1, l3, s3, b0, t1, o1 - Jan-5
z1, f7, o1, l3, b0, s3, t1, c1 - Jan-30
z1, f7, o1, l3, s3, b0, t1, c1 - Jan-30
b0, f7, z2, s3, l3, c1, t1, o1 - Feb-5
f7, b0, z6, s3, l3, c1, t1, o1 - Jun-7
c2, f0, o0, l0, t6, z0, b0, s3 - Jul-27
z2, c2, f0, b0, l0, s1, t1, o1 - Jun-21
b0, t3, z6, l1, f0, s2, c2, o0 - Jun-20
b0, t3, z6, l1, f0, s2, o0, c2 - Jun-23
f0, z2, l1, b0, t3, o0, c2, s3 - Jun-22
c2, t3, b0, o0, z3, f0, l1, s3 - Jul-28
f0, t5, o1, l1, z7, s2, c2, b0 - Dec-20
c2, t2, o1, z6, f0, b0, l1, s3 - Jul-14
o1, c2, z5, f0, t7, b0, l1, s3 - Oct-29
c2, b0, l2, t2, z3, f0, s2, o0 - Jul-28
b0, t3, z2, l2, f0, s2, c2, o0 - Jun-20
b0, t3, z2, l2, f0, s2, o0, c2 - Jun-23
z6, s2, l2, t5, f0, b0, c2, o0 - Jan-20
z6, s2, l2, t5, f0, b0, o0, c2 - Jan-23
s1, l2, c2, f0, t0, o1, b0, z4 - Nov-23
s1, l2, c2, f0, t0, o1, b0, z6 - Nov-31
f0, z2, t4, c2, l2, s2, b0, o1 - Jun-31
f0, l2, t4, c2, z7, s2, b0, o1 - Jun-31
c2, t5, s0, z7, f0, b0, o0, l3 - Jul-28
b0, t2, o1, z1, s0, f0, l3, c2 - Feb-23
c2, t2, o1, z1, s0, f0, l3, b0 - Jul-17
c2, o1, l3, s1, t0, f0, b0, z0 - Jul-20
f0, o1, t2, c2, s2, z3, l3, b0 - Aug-9
c2, o1, t2, z5, s2, f0, l3, b0 - Jul-11
b0, t2, o1, z6, f0, s3, l3, c2 - Feb-23
c2, t2, o1, z6, f0, s3, l3, b0 - Jul-17
b0, t3, z2, o1, f0, s3, l3, c2 - Jun-23
f1, c2, z2, l0, s1, t0, b0, o1 - Nov-25
f1, s2, l1, t3, z7, c2, o0, b0 - Nov-18
f1, s2, l1, t3, z7, o0, c2, b0 - Nov-20
c2, f1, l1, t3, z0, o0, b0, s3 - Jul-11
s2, f1, z5, c2, o1, b0, l1, t1 - Nov-21
s2, f1, t2, c2, l1, b0, z2, o1 - Nov-14
t4, z3, b0, s2, l2, c2, f1, o1 - Feb-20
z0, f1, s1, t3, c2, b0, o0, l3 - Nov-15
z0, f1, s1, t3, o0, b0, c2, l3 - Nov-20
f1, s2, c2, z7, b0, t2, l3, o0 - Nov-1
f1, s2, o0, z7, b0, t2, l3, c2 - Nov-22
t2, f1, z3, c2, l3, o0, b0, s3 - Oct-7
t2, f1, l3, c2, z4, o0, b0, s3 - Oct-7
c2, f1, o1, s0, b0, t3, l3, z4 - Jul-18
c2, f1, o1, s0, b0, t5, l3, z4 - Jul-17
c2, f1, s0, t7, b0, o1, l3, z4 - Jul-17
z0, c2, t2, b0, s1, l3, f1, o1 - Mar-20
z2, c2, t2, b0, s1, l3, f1, o1 - Aug-20
f1, s2, z0, l3, b0, c2, t3, o1 - Sep-26
b0, f1, z5, t2, c2, s3, l3, o1 - Oct-8
z2, c2, s2, t6, l0, f2, b0, o1 - Jun-3
t4, c2, l1, s1, z1, f2, o0, b0 - Dec-23
c2, l1, z5, s0, f2, t7, b0, o1 - Jul-8
l1, z1, c2, t6, s1, f2, b0, o1 - Nov-31
o1, l1, z7, t4, s2, f2, c2, b0 - Dec-29
b0, t3, l1, s3, c2, f2, z2, o1 - Jun-12
t4, c2, l1, z5, f2, o1, b0, s3 - Dec-6
t4, c2, l1, z7, f2, o1, b0, s3 - Dec-12
l2, b0, s2, z1, f2, t4, c2, o0 - Jul-22
c2, l2, f2, o0, t6, z0, b0, s3 - Jul-27
o0, l2, c2, t6, f2, z0, b0, s3 - Jun-3
z0, l2, b0, t6, c2, f2, o0, s3 - Jun-10
z0, l2, b0, t6, o0, f2, c2, s3 - Jun-22
z5, s2, l2, c2, t0, b0, f2, o1 - Aug-29
s2, l2, f2, c2, b0, t6, z0, o1 - Jul-19
s2, l2, f2, c2, b0, t6, z2, o1 - Jul-25
o0, z1, s0, t6, f2, c2, b0, l3 - Mar-15
b0, t3, z6, c2, f2, o0, s2, l3 - Jun-12
b0, t3, z6, o0, f2, c2, s2, l3 - Jun-15
o0, z6, s3, t6, f2, c2, b0, l3 - Mar-15
z2, s0, c2, t6, l3, f2, b0, o1 - Apr-1
b0, t3, z2, s3, l3, f2, c2, o1 - Jun-20
l1, t0, c2, b0, s3, f3, z4, o1 - Nov-28
b0, z0, s2, t1, f4, c2, l0, o1 - Apr-20
b0, z2, s2, t1, f4, c2, l0, o1 - Sep-20
l1, c2, t2, f4, s3, z3, b0, o0 - Oct-28
c2, o1, z5, t1, f4, b0, l1, s3 - Jul-31
t4, c2, l1, z5, f4, o1, b0, s3 - Dec-27
c2, o0, f4, l3, t6, z0, b0, s3 - Jul-27
o0, c2, f4, l3, t6, z0, b0, s3 - Sep-27
t3, c2, b0, f4, l3, s3, z4, o1 - Nov-28
z1, o0, s2, f6, b0, c2, l0, t1 - Jan-11
b0, z0, s2, o1, f6, l0, c2, t5 - Apr-31
b0, z2, s2, o1, f6, l0, c2, t5 - Sep-31
l1, b0, s2, t0, f6, z5, c2, o0 - Aug-18
l1, b0, s2, t0, f6, z5, o0, c2 - Aug-20
l1, b0, s2, z1, f6, t4, c2, o0 - Aug-23
l1, b0, s2, z1, f6, t6, c2, o0 - Aug-18
l1, b0, s2, z1, f6, t6, o0, c2 - Aug-20
l1, s3, c2, o0, t0, f6, z5, b0 - Nov-25
f6, c2, l1, s2, z1, t0, b0, o1 - Aug-7
c2, l1, z5, s2, t0, f6, b0, o1 - Jul-31
c2, l1, s3, z4, t0, f6, b0, o1 - Jul-31
f6, c2, o1, l1, s3, t0, b0, z4 - Aug-28
f6, c2, o1, l1, t0, s3, b0, z4 - Aug-23
f6, c2, o1, l1, t0, s3, b0, z6 - Aug-31
c2, s1, l2, o0, t0, f6, z5, b0 - Jul-25
f6, s1, t5, c2, l2, z3, o0, b0 - Dec-28
l2, b0, s2, z7, f6, t4, c2, o0 - Aug-23
l2, b0, s2, z7, f6, t6, c2, o0 - Aug-18
l2, b0, s2, z7, f6, t6, o0, c2 - Aug-20
f6, t3, s3, c2, l2, z3, o0, b0 - Aug-28
t0, o1, z5, f6, l2, s2, b0, c2 - Jan-29
f6, o1, c2, l2, s3, t0, b0, z4 - Nov-28
